"Stadtteil","Jahr","Personen","männlich","weiblich"
"Innenstadt-Ost","2007",102,52,50
"Innenstadt-Ost","2008",97,57,40
"Innenstadt-Ost","2009",100,60,40
"Innenstadt-Ost","2010",103,60,43
"Innenstadt-Ost","2011",105,52,53
"Innenstadt-Ost","2012",122,68,54
"Innenstadt-Ost","2013",102,58,44
"Innenstadt-Ost","2014",101,57,44
"Innenstadt-Ost","2015",104,57,47
"Innenstadt-Ost","2016",89,47,42
"Innenstadt-Ost","2017",104,60,44
"Innenstadt-Ost","2018",94,59,35
"Innenstadt-Ost","2019",106,62,44
"Innenstadt-Ost","2020",101,54,47
"Innenstadt-Ost","2021",96,50,46
"Innenstadt-West","2007",148,74,74
"Innenstadt-West","2008",124,67,57
"Innenstadt-West","2009",114,58,56
"Innenstadt-West","2010",112,58,54
"Innenstadt-West","2011",125,62,63
"Innenstadt-West","2012",135,71,64
"Innenstadt-West","2013",140,77,63
"Innenstadt-West","2014",122,72,50
"Innenstadt-West","2015",144,93,51
"Innenstadt-West","2016",136,82,54
"Innenstadt-West","2017",126,69,57
"Innenstadt-West","2018",116,59,57
"Innenstadt-West","2019",125,70,55
"Innenstadt-West","2020",109,63,46
"Innenstadt-West","2021",114,50,64
"Südstadt","2007",319,161,158
"Südstadt","2008",316,165,151
"Südstadt","2009",316,177,139
"Südstadt","2010",331,186,145
"Südstadt","2011",304,175,129
"Südstadt","2012",336,187,149
"Südstadt","2013",351,199,152
"Südstadt","2014",381,193,188
"Südstadt","2015",313,165,148
"Südstadt","2016",357,206,151
"Südstadt","2017",340,196,144
"Südstadt","2018",318,178,140
"Südstadt","2019",306,162,144
"Südstadt","2020",250,129,121
"Südstadt","2021",252,129,123
"Südweststadt","2007",390,189,201
"Südweststadt","2008",391,187,204
"Südweststadt","2009",388,191,197
"Südweststadt","2010",380,198,182
"Südweststadt","2011",372,189,183
"Südweststadt","2012",390,186,204
"Südweststadt","2013",412,211,201
"Südweststadt","2014",429,222,207
"Südweststadt","2015",457,250,207
"Südweststadt","2016",513,292,221
"Südweststadt","2017",503,286,217
"Südweststadt","2018",449,240,209
"Südweststadt","2019",452,234,218
"Südweststadt","2020",460,238,222
"Südweststadt","2021",453,235,218
"Weststadt","2007",408,210,198
"Weststadt","2008",418,211,207
"Weststadt","2009",415,211,204
"Weststadt","2010",390,198,192
"Weststadt","2011",385,200,185
"Weststadt","2012",382,188,194
"Weststadt","2013",414,204,210
"Weststadt","2014",406,204,202
"Weststadt","2015",409,217,192
"Weststadt","2016",433,228,205
"Weststadt","2017",404,205,199
"Weststadt","2018",398,199,199
"Weststadt","2019",375,188,187
"Weststadt","2020",391,205,186
"Weststadt","2021",376,176,200
"Nordweststadt","2007",313,173,140
"Nordweststadt","2008",298,158,140
"Nordweststadt","2009",308,163,145
"Nordweststadt","2010",281,146,135
"Nordweststadt","2011",302,154,148
"Nordweststadt","2012",301,155,146
"Nordweststadt","2013",291,151,140
"Nordweststadt","2014",266,145,121
"Nordweststadt","2015",247,141,106
"Nordweststadt","2016",247,141,106
"Nordweststadt","2017",253,134,119
"Nordweststadt","2018",243,117,126
"Nordweststadt","2019",276,131,145
"Nordweststadt","2020",295,147,148
"Nordweststadt","2021",309,151,158
"Oststadt","2007",317,165,152
"Oststadt","2008",329,171,158
"Oststadt","2009",331,187,144
"Oststadt","2010",307,176,131
"Oststadt","2011",283,147,136
"Oststadt","2012",290,148,142
"Oststadt","2013",311,162,149
"Oststadt","2014",520,313,207
"Oststadt","2015",697,415,282
"Oststadt","2016",370,203,167
"Oststadt","2017",336,188,148
"Oststadt","2018",271,150,121
"Oststadt","2019",262,142,120
"Oststadt","2020",271,138,133
"Oststadt","2021",277,138,139
"Mühlburg","2007",337,164,173
"Mühlburg","2008",337,176,161
"Mühlburg","2009",313,165,148
"Mühlburg","2010",291,149,142
"Mühlburg","2011",282,134,148
"Mühlburg","2012",303,145,158
"Mühlburg","2013",351,171,180
"Mühlburg","2014",384,202,182
"Mühlburg","2015",469,289,180
"Mühlburg","2016",436,265,171
"Mühlburg","2017",355,182,173
"Mühlburg","2018",355,185,170
"Mühlburg","2019",326,167,159
"Mühlburg","2020",330,179,151
"Mühlburg","2021",322,161,161
"Daxlanden","2007",389,216,173
"Daxlanden","2008",367,202,165
"Daxlanden","2009",378,201,177
"Daxlanden","2010",364,180,184
"Daxlanden","2011",373,182,191
"Daxlanden","2012",358,176,182
"Daxlanden","2013",350,179,171
"Daxlanden","2014",348,183,165
"Daxlanden","2015",331,173,158
"Daxlanden","2016",333,178,155
"Daxlanden","2017",318,169,149
"Daxlanden","2018",318,179,139
"Daxlanden","2019",292,160,132
"Daxlanden","2020",277,158,119
"Daxlanden","2021",294,165,129
"Knielingen","2007",241,125,116
"Knielingen","2008",247,121,126
"Knielingen","2009",260,136,124
"Knielingen","2010",240,118,122
"Knielingen","2011",246,130,116
"Knielingen","2012",241,136,105
"Knielingen","2013",254,141,113
"Knielingen","2014",234,129,105
"Knielingen","2015",245,126,119
"Knielingen","2016",231,105,126
"Knielingen","2017",261,128,133
"Knielingen","2018",266,149,117
"Knielingen","2019",261,149,112
"Knielingen","2020",259,141,118
"Knielingen","2021",256,129,127
"Grünwinkel","2007",316,148,168
"Grünwinkel","2008",320,165,155
"Grünwinkel","2009",314,162,152
"Grünwinkel","2010",290,157,133
"Grünwinkel","2011",259,128,131
"Grünwinkel","2012",283,140,143
"Grünwinkel","2013",294,130,164
"Grünwinkel","2014",289,139,150
"Grünwinkel","2015",269,136,133
"Grünwinkel","2016",269,148,121
"Grünwinkel","2017",270,150,120
"Grünwinkel","2018",292,152,140
"Grünwinkel","2019",280,141,139
"Grünwinkel","2020",291,135,156
"Grünwinkel","2021",295,132,163
"Oberreut","2007",383,195,188
"Oberreut","2008",390,209,181
"Oberreut","2009",384,208,176
"Oberreut","2010",368,206,162
"Oberreut","2011",310,168,142
"Oberreut","2012",296,147,149
"Oberreut","2013",292,139,153
"Oberreut","2014",301,145,156
"Oberreut","2015",293,153,140
"Oberreut","2016",286,160,126
"Oberreut","2017",284,158,126
"Oberreut","2018",292,160,132
"Oberreut","2019",316,155,161
"Oberreut","2020",298,144,154
"Oberreut","2021",295,144,151
"Beiertheim-Bulach","2007",157,74,83
"Beiertheim-Bulach","2008",166,81,85
"Beiertheim-Bulach","2009",164,82,82
"Beiertheim-Bulach","2010",163,86,77
"Beiertheim-Bulach","2011",164,91,73
"Beiertheim-Bulach","2012",171,92,79
"Beiertheim-Bulach","2013",153,82,71
"Beiertheim-Bulach","2014",141,73,68
"Beiertheim-Bulach","2015",145,70,75
"Beiertheim-Bulach","2016",154,77,77
"Beiertheim-Bulach","2017",167,84,83
"Beiertheim-Bulach","2018",163,85,78
"Beiertheim-Bulach","2019",167,91,76
"Beiertheim-Bulach","2020",157,77,80
"Beiertheim-Bulach","2021",148,77,71
"Weiherfeld-Dammerstock","2007",144,67,77
"Weiherfeld-Dammerstock","2008",134,61,73
"Weiherfeld-Dammerstock","2009",139,67,72
"Weiherfeld-Dammerstock","2010",137,73,64
"Weiherfeld-Dammerstock","2011",135,73,62
"Weiherfeld-Dammerstock","2012",140,74,66
"Weiherfeld-Dammerstock","2013",153,82,71
"Weiherfeld-Dammerstock","2014",147,84,63
"Weiherfeld-Dammerstock","2015",139,76,63
"Weiherfeld-Dammerstock","2016",134,73,61
"Weiherfeld-Dammerstock","2017",142,66,76
"Weiherfeld-Dammerstock","2018",148,74,74
"Weiherfeld-Dammerstock","2019",156,80,76
"Weiherfeld-Dammerstock","2020",152,73,79
"Weiherfeld-Dammerstock","2021",149,80,69
"Rüppurr","2007",314,157,157
"Rüppurr","2008",316,165,151
"Rüppurr","2009",320,167,153
"Rüppurr","2010",304,159,145
"Rüppurr","2011",305,156,149
"Rüppurr","2012",301,157,144
"Rüppurr","2013",320,162,158
"Rüppurr","2014",307,167,140
"Rüppurr","2015",294,159,135
"Rüppurr","2016",283,154,129
"Rüppurr","2017",285,148,137
"Rüppurr","2018",299,156,143
"Rüppurr","2019",309,159,150
"Rüppurr","2020",298,148,150
"Rüppurr","2021",300,151,149
"Waldstadt","2007",325,171,154
"Waldstadt","2008",299,148,151
"Waldstadt","2009",306,153,153
"Waldstadt","2010",310,152,158
"Waldstadt","2011",297,150,147
"Waldstadt","2012",299,156,143
"Waldstadt","2013",311,163,148
"Waldstadt","2014",327,166,161
"Waldstadt","2015",324,170,154
"Waldstadt","2016",324,170,154
"Waldstadt","2017",301,158,143
"Waldstadt","2018",306,159,147
"Waldstadt","2019",324,175,149
"Waldstadt","2020",341,177,164
"Waldstadt","2021",320,168,152
"Rintheim","2007",194,101,93
"Rintheim","2008",183,89,94
"Rintheim","2009",157,70,87
"Rintheim","2010",137,70,67
"Rintheim","2011",136,69,67
"Rintheim","2012",130,65,65
"Rintheim","2013",144,71,73
"Rintheim","2014",139,60,79
"Rintheim","2015",149,66,83
"Rintheim","2016",147,71,76
"Rintheim","2017",166,80,86
"Rintheim","2018",177,90,87
"Rintheim","2019",188,92,96
"Rintheim","2020",199,105,94
"Rintheim","2021",198,96,102
"Hagsfeld","2007",305,137,168
"Hagsfeld","2008",298,141,157
"Hagsfeld","2009",275,144,131
"Hagsfeld","2010",240,125,115
"Hagsfeld","2011",237,119,118
"Hagsfeld","2012",212,105,107
"Hagsfeld","2013",211,107,104
"Hagsfeld","2014",198,110,88
"Hagsfeld","2015",214,113,101
"Hagsfeld","2016",218,116,102
"Hagsfeld","2017",209,108,101
"Hagsfeld","2018",190,102,88
"Hagsfeld","2019",176,95,81
"Hagsfeld","2020",184,98,86
"Hagsfeld","2021",186,102,84
"Durlach","2007",752,404,348
"Durlach","2008",749,387,362
"Durlach","2009",715,363,352
"Durlach","2010",738,364,374
"Durlach","2011",708,350,358
"Durlach","2012",719,350,369
"Durlach","2013",716,359,357
"Durlach","2014",752,371,381
"Durlach","2015",765,380,385
"Durlach","2016",727,368,359
"Durlach","2017",696,361,335
"Durlach","2018",720,382,338
"Durlach","2019",754,390,364
"Durlach","2020",735,366,369
"Durlach","2021",739,370,369
"Grötzingen","2007",306,161,145
"Grötzingen","2008",296,158,138
"Grötzingen","2009",286,153,133
"Grötzingen","2010",269,137,132
"Grötzingen","2011",266,142,124
"Grötzingen","2012",262,130,132
"Grötzingen","2013",247,119,128
"Grötzingen","2014",258,124,134
"Grötzingen","2015",270,137,133
"Grötzingen","2016",303,160,143
"Grötzingen","2017",292,146,146
"Grötzingen","2018",267,141,126
"Grötzingen","2019",238,131,107
"Grötzingen","2020",228,126,102
"Grötzingen","2021",237,130,107
"Stupferich","2007",86,45,41
"Stupferich","2008",80,41,39
"Stupferich","2009",82,41,41
"Stupferich","2010",77,42,35
"Stupferich","2011",76,44,32
"Stupferich","2012",94,52,42
"Stupferich","2013",92,50,42
"Stupferich","2014",77,40,37
"Stupferich","2015",67,38,29
"Stupferich","2016",67,39,28
"Stupferich","2017",76,40,36
"Stupferich","2018",67,28,39
"Stupferich","2019",58,25,33
"Stupferich","2020",59,28,31
"Stupferich","2021",69,38,31
"Hohenwettersbach","2007",111,65,46
"Hohenwettersbach","2008",112,69,43
"Hohenwettersbach","2009",114,69,45
"Hohenwettersbach","2010",108,61,47
"Hohenwettersbach","2011",108,59,49
"Hohenwettersbach","2012",112,61,51
"Hohenwettersbach","2013",115,60,55
"Hohenwettersbach","2014",117,63,54
"Hohenwettersbach","2015",122,65,57
"Hohenwettersbach","2016",142,81,61
"Hohenwettersbach","2017",140,77,63
"Hohenwettersbach","2018",139,71,68
"Hohenwettersbach","2019",128,68,60
"Hohenwettersbach","2020",137,74,63
"Hohenwettersbach","2021",137,81,56
"Wolfartsweier","2007",102,49,53
"Wolfartsweier","2008",89,43,46
"Wolfartsweier","2009",79,41,38
"Wolfartsweier","2010",72,38,34
"Wolfartsweier","2011",76,38,38
"Wolfartsweier","2012",75,36,39
"Wolfartsweier","2013",71,32,39
"Wolfartsweier","2014",68,32,36
"Wolfartsweier","2015",79,32,47
"Wolfartsweier","2016",93,49,44
"Wolfartsweier","2017",92,53,39
"Wolfartsweier","2018",80,46,34
"Wolfartsweier","2019",82,42,40
"Wolfartsweier","2020",81,40,41
"Wolfartsweier","2021",75,42,33
"Grünwettersbach","2007",135,72,63
"Grünwettersbach","2008",126,70,56
"Grünwettersbach","2009",118,64,54
"Grünwettersbach","2010",93,44,49
"Grünwettersbach","2011",102,48,54
"Grünwettersbach","2012",114,60,54
"Grünwettersbach","2013",133,66,67
"Grünwettersbach","2014",130,64,66
"Grünwettersbach","2015",131,61,70
"Grünwettersbach","2016",128,64,64
"Grünwettersbach","2017",125,67,58
"Grünwettersbach","2018",119,58,61
"Grünwettersbach","2019",118,59,59
"Grünwettersbach","2020",112,54,58
"Grünwettersbach","2021",118,60,58
"Palmbach","2007",71,35,36
"Palmbach","2008",77,36,41
"Palmbach","2009",61,28,33
"Palmbach","2010",63,33,30
"Palmbach","2011",49,29,20
"Palmbach","2012",59,38,21
"Palmbach","2013",62,37,25
"Palmbach","2014",65,38,27
"Palmbach","2015",67,37,30
"Palmbach","2016",53,30,23
"Palmbach","2017",45,24,21
"Palmbach","2018",40,21,19
"Palmbach","2019",56,31,25
"Palmbach","2020",61,33,28
"Palmbach","2021",69,38,31
"Neureut","2007",475,254,221
"Neureut","2008",459,241,218
"Neureut","2009",425,227,198
"Neureut","2010",431,224,207
"Neureut","2011",458,222,236
"Neureut","2012",501,232,269
"Neureut","2013",556,274,282
"Neureut","2014",533,274,259
"Neureut","2015",536,294,242
"Neureut","2016",544,297,247
"Neureut","2017",493,267,226
"Neureut","2018",475,256,219
"Neureut","2019",474,248,226
"Neureut","2020",501,245,256
"Neureut","2021",512,245,267
"Nordstadt","2007",363,188,175
"Nordstadt","2008",388,206,182
"Nordstadt","2009",416,224,192
"Nordstadt","2010",419,233,186
"Nordstadt","2011",441,243,198
"Nordstadt","2012",428,232,196
"Nordstadt","2013",425,225,200
"Nordstadt","2014",414,216,198
"Nordstadt","2015",438,224,214
"Nordstadt","2016",428,224,204
"Nordstadt","2017",429,239,190
"Nordstadt","2018",426,252,174
"Nordstadt","2019",414,235,179
"Nordstadt","2020",393,212,181
"Nordstadt","2021",375,194,181