"Stadtteil","Jahr","Bespielbare Fläche (m<sup>2</sup>)"
"Innenstadt-Ost","2014",11015
"Innenstadt-Ost","2015",11015
"Innenstadt-Ost","2016",11015
"Innenstadt-Ost","2017",11006
"Innenstadt-Ost","2018",10833
"Innenstadt-Ost","2019",10833
"Innenstadt-Ost","2020",10833
"Innenstadt-West","2014",6317
"Innenstadt-West","2015",9294
"Innenstadt-West","2016",9294
"Innenstadt-West","2017",9287
"Innenstadt-West","2018",9665
"Innenstadt-West","2019",6341
"Innenstadt-West","2020",9673
"Südstadt","2014",14762
"Südstadt","2015",14762
"Südstadt","2016",17502
"Südstadt","2017",17504
"Südstadt","2018",17716
"Südstadt","2019",17664
"Südstadt","2020",18169
"Südweststadt","2014",40297
"Südweststadt","2015",40307
"Südweststadt","2016",39968
"Südweststadt","2017",39607
"Südweststadt","2018",28096
"Südweststadt","2019",28102
"Südweststadt","2020",27767
"Weststadt","2014",18158
"Weststadt","2015",18232
"Weststadt","2016",18232
"Weststadt","2017",18217
"Weststadt","2018",18217
"Weststadt","2019",18217
"Weststadt","2020",18240
"Nordweststadt","2014",41799
"Nordweststadt","2015",41504
"Nordweststadt","2016",40505
"Nordweststadt","2017",40473
"Nordweststadt","2018",38868
"Nordweststadt","2019",38898
"Nordweststadt","2020",40407
"Oststadt","2014",29694
"Oststadt","2015",29694
"Oststadt","2016",30461
"Oststadt","2017",30438
"Oststadt","2018",28066
"Oststadt","2019",28138
"Oststadt","2020",28143
"Mühlburg","2014",9520
"Mühlburg","2015",14223
"Mühlburg","2016",14223
"Mühlburg","2017",14220
"Mühlburg","2018",14220
"Mühlburg","2019",14220
"Mühlburg","2020",14220
"Daxlanden","2014",40865
"Daxlanden","2015",41531
"Daxlanden","2016",41531
"Daxlanden","2017",41483
"Daxlanden","2018",41483
"Daxlanden","2019",42950
"Daxlanden","2020",42862
"Knielingen","2014",30397
"Knielingen","2015",30435
"Knielingen","2016",30449
"Knielingen","2017",32175
"Knielingen","2018",32203
"Knielingen","2019",32205
"Knielingen","2020",32350
"Grünwinkel","2014",21572
"Grünwinkel","2015",21579
"Grünwinkel","2016",21801
"Grünwinkel","2017",21926
"Grünwinkel","2018",21920
"Grünwinkel","2019",20094
"Grünwinkel","2020",20034
"Oberreut","2014",28707
"Oberreut","2015",30471
"Oberreut","2016",30477
"Oberreut","2017",30454
"Oberreut","2018",29960
"Oberreut","2019",29963
"Oberreut","2020",30237
"Beiertheim-Bulach","2014",6574
"Beiertheim-Bulach","2015",6579
"Beiertheim-Bulach","2016",6647
"Beiertheim-Bulach","2017",6492
"Beiertheim-Bulach","2018",6472
"Beiertheim-Bulach","2019",6472
"Beiertheim-Bulach","2020",6472
"Weiherfeld-Dammerstock","2014",9108
"Weiherfeld-Dammerstock","2015",9108
"Weiherfeld-Dammerstock","2016",9108
"Weiherfeld-Dammerstock","2017",11131
"Weiherfeld-Dammerstock","2018",11131
"Weiherfeld-Dammerstock","2019",11131
"Weiherfeld-Dammerstock","2020",11204
"Rüppurr","2014",18692
"Rüppurr","2015",19344
"Rüppurr","2016",19690
"Rüppurr","2017",19663
"Rüppurr","2018",19663
"Rüppurr","2019",19663
"Rüppurr","2020",19907
"Waldstadt","2014",33461
"Waldstadt","2015",36785
"Waldstadt","2016",37630
"Waldstadt","2017",37474
"Waldstadt","2018",37392
"Waldstadt","2019",37392
"Waldstadt","2020",37432
"Rintheim","2014",10404
"Rintheim","2015",10404
"Rintheim","2016",10445
"Rintheim","2017",10611
"Rintheim","2018",9046
"Rintheim","2019",9046
"Rintheim","2020",8815
"Hagsfeld","2014",22412
"Hagsfeld","2015",21910
"Hagsfeld","2016",22672
"Hagsfeld","2017",22654
"Hagsfeld","2018",22797
"Hagsfeld","2019",22961
"Hagsfeld","2020",19959
"Durlach","2014",45386
"Durlach","2015",41996
"Durlach","2016",42121
"Durlach","2017",40709
"Durlach","2018",44706
"Durlach","2019",44584
"Durlach","2020",45539
"Grötzingen","2014",13667
"Grötzingen","2015",15282
"Grötzingen","2016",15373
"Grötzingen","2017",15482
"Grötzingen","2018",15477
"Grötzingen","2019",15491
"Grötzingen","2020",15946
"Stupferich","2014",3551
"Stupferich","2015",3514
"Stupferich","2016",3514
"Stupferich","2017",3808
"Stupferich","2018",4148
"Stupferich","2019",4140
"Stupferich","2020",4173
"Hohenwettersbach","2014",9680
"Hohenwettersbach","2015",9651
"Hohenwettersbach","2016",9651
"Hohenwettersbach","2017",9643
"Hohenwettersbach","2018",9602
"Hohenwettersbach","2019",9602
"Hohenwettersbach","2020",9463
"Wolfartsweier","2014",9946
"Wolfartsweier","2015",10850
"Wolfartsweier","2016",10850
"Wolfartsweier","2017",10612
"Wolfartsweier","2018",10730
"Wolfartsweier","2019",10680
"Wolfartsweier","2020",10612
"Grünwettersbach","2014",6711
"Grünwettersbach","2015",6711
"Grünwettersbach","2016",6697
"Grünwettersbach","2017",6692
"Grünwettersbach","2018",6640
"Grünwettersbach","2019",6648
"Grünwettersbach","2020",6777
"Palmbach","2014",4979
"Palmbach","2015",4979
"Palmbach","2016",5005
"Palmbach","2017",5001
"Palmbach","2018",5007
"Palmbach","2019",5001
"Palmbach","2020",5888
"Neureut","2014",36634
"Neureut","2015",36783
"Neureut","2016",36953
"Neureut","2017",36924
"Neureut","2018",36786
"Neureut","2019",38151
"Neureut","2020",40883
"Nordstadt","2014",24669
"Nordstadt","2015",24669
"Nordstadt","2016",24782
"Nordstadt","2017",24794
"Nordstadt","2018",24760
"Nordstadt","2019",24991
"Nordstadt","2020",24786